DIAGNOSISCODE,DESCRIPTION,OM8_HCC_ERRD_MODEL_CATEGORY_V21,OM8_HCC_ERRD_MODEL_CATEGORY_V24,OM8_HCC_MODEL_CATEGORY_V22,OM8_HCC_MODEL_CATEGORY_V24,OM8_HCC_MODEL_CATEGORY_V28,RARCC_MODEL_CATEGORY_V05,RARCC_MODEL_CATEGORY_V03,OM8_HCC_ERRD_MODEL_CATEGORY_V21_FOR_2025_PAYMENT_YEAR,OM8_HCC_ERRD_MODEL_CATEGORY_V24_FOR_2025_PAYMENT_YEAR,OM8_HCC_MODEL_CATEGORY_V22_FOR_2025_PAYMENT_YEAR,OM8_HCC_MODEL_CATEGORY_V24_FOR_2025_PAYMENT_YEAR,OM8_HCC_MODEL_CATEGORY_V28_FOR_2025_PAYMENT_YEAR,RARCC_MODEL_CATEGORY_V05_FOR_2025_PAYMENT_YEAR,RARCC_MODEL_CATEGORY_V03_FOR_2025_PAYMENT_YEAR
A01.0,Typhoid fever,1,1,1,1,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
A01.1,Paratyphoid fever A,1,1,1,1,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
A01.2,Paratyphoid fever B,1,1,1,1,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
A01.3,Paratyphoid fever C,1,1,1,1,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
A01.4,Paratyphoid fever (unspecified),1,1,1,1,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
A02.0,Salmonella gastroenteritis,19,19,19,19,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
A02.1,Salmonella sepsis,19,19,19,19,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
A02.2,Localized Salmonella infection,19,19,19,19,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
A02.8,Other specified salmonella infection,19,19,19,19,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
A02.9,Salmonella infection (unspecified),19,19,19,19,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
A03.0,Shigellosis due to Shigella dysenteriae,1,1,1,1,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
A03.1,Shigellosis due to Shigella flexneri,1,1,1,1,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
A03.2,Shigellosis due to Shigella boydii,1,1,1,1,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
A03.3,Shigellosis due to Shigella sonnei,1,1,1,1,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
A03.8,Other Shigellosis,1,1,1,1,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
A03.9,Shigellosis (unspecified),1,1,1,1,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
A04.0,Enteroinvasive Escherichia coli infection,2,2,2,2,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
A04.1,Enterotoxigenic Escherichia coli infection,2,2,2,2,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
A04.2,Enteropathogenic Escherichia coli infection,2,2,2,2,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
A04.3,Enteroaggregative Escherichia coli infection,2,2,2,2,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
A04.4,Other intestinal Escherichia coli infections,2,2,2,2,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
A04.5,Campylobacter enteritis,3,3,3,3,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
A04.6,Enteritis due to Yersinia enterocolitica,3,3,3,3,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
A04.7,Enteritis due to Clostridium difficile,3,3,3,3,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
A04.8,Other specified bacterial intestinal infections,3,3,3,3,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
A04.9,Bacterial intestinal infection (unspecified),3,3,3,3,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
A05.0,Foodborne staphylococcal intoxication,2,2,2,2,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
A05.1,Botulism,2,2,2,2,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
A05.2,Foodborne Clostridium perfringens [Clostridium welchii] intoxication,2,2,2,2,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
A05.3,Foodborne Vibrio cholerae non-O1 intoxication,2,2,2,2,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
A05.4,Foodborne Bacillus cereus intoxication,2,2,2,2,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
